year,award_category,artist_name
2005,Country Male,Tim Mcgraw
2005,Latin Music Artist,Shakira
2005,Pop/Rock Album,Green Day “American Idiot”
2005,Pop/Rock Female,Gwen Stefani
2005,Pop/Rock Group,Black Eyed Peas
2005,Pop/Rock Male,Will Smith
2005,Rap/Hip-Hop Album,50 Cent “The Massacre”
2005,Rap/Hip-Hop Female,Missy Elliot
2005,Rap/Hip-Hop Group,Black Eyed Peas
2005,Rap/Hip-Hop Male,Eminem
2005,Soul/R&B Album,Destiny’S Child “Destiny Fulfilled”
2005,Soul/R&B Female,Mariah Carey
2005,Soul/R&B Group,Destiny’S Child
2005,Soul/R&B Male,R Kelly
2005,T-Mobile Text-In Awards,Kelly Clarkson
2005,Adult Contemporary,Kelly Clarkson
2005,Alternative Artist,Green Day
2005,Award Of Merit,No Award Given
2005,Breakthrough Artist,Sugarland
2005,Contemporary Inspirational,Mary Mary
2006,Breakthrough Artist,Carrie Underwood
2006,Contemporary Inspirational,Kirk Franklin
2006,Country Album,Tim Mcgraw “Tim Mcgraw Reflected”
2006,Country Female,Faith Hill
2006,Country Group,Rascal Flatts
2006,Country Male,Toby Keith
2006,Latin Music Artist,Shakira
2006,Pop/Rock Album,Nickelback
2006,Pop/Rock Female,Kelly Clarkson
2006,Pop/Rock Group,Red Hot Chili Peppers
2006,Pop/Rock Male,Sean Paul
2006,Rap/Hip-Hop Album,Black Eyed Peas “Monkey Business”
2006,Rap/Hip-Hop Group,Black Eyed Peas
2006,Rap/Hip-Hop Male,Eminem
2006,Soul/R&B Album,Mary J. Blige
2006,Soul/R&B Female,Mary J. Blige
2006,Soul/R&B Group,Black Eyed Peas
2006,Soul/R&B Male,Jamie Foxx
2006,T-Mobile Text-In Awards,Rascal Flatts
2006,Adult Contemporary,Kelly Clarkson
2006,Alternative Artist,Red Hot Chili Peppers
2007,Soul/R&B Male,Akon
2007,Soundtrack Album,High School Musical Ii
2007,T-Mobile Text-In Awards,Carrie Underwood
2007,Alternative Artist,Linkin Park
2007,Award Of Merit,No Award Given
2007,Breakthrough Artist,Daughtry
2007,Contemporary Inspirational,Casting Crowns
2007,Country Album,Carrie Underwood “Some Hearts”
2007,Country Female,Carrie Underwood
2007,Country Group,Rascal Flatts
2007,Country Male,Tim Mcgraw
2007,International Artist Award,Beyonce
2007,Latin Music Artist,Jennifer Lopez
2007,Pop/Rock Album,Daughtry “Daughtry”
2007,Pop/Rock Female,Fergie
2007,Pop/Rock Group,Nickelback
2007,Pop/Rock Male,Justin Timberlake
2007,Rap/Hip-Hop Album,T.I. “T.I. Vs T.I.P.”
2007,Rap/Hip-Hop Group,Bone Thugs-N-Harmony
2007,Rap/Hip-Hop Male,T.I.
2007,Soul/R&B Album,Justin Timberlake “Futuresex/Lovesounds”
2007,Soul/R&B Female,Rihanna
2007,Soul/R&B Group,Award Not Given
2007,Adult Contemporary,Daughtry
2008,Award Of Achievement,Mariah Carey
2008,Rap/Hip-Hop Male,Kanye West
2008,Soul/R&B Album,Alicia Keys “As I Am”
2008,Soul/R&B Female,Rihanna
2008,Soul/R&B Group,Not Given
2008,Soul/R&B Male,Chris Brown
2008,Soundtrack Album,Alvin & The Chipmunks
2008,T-Mobile Breakthrough Artist,Jonas Brothers
2008,Adult Contemporary,Jordin Sparks
2008,Alternative Artist,Linkin Park
2008,Artist Of The Year,Chris Brown
2008,Award Of Merit,Annie Lennox
2008,Contemporary Inspirational,Third Day
2008,Country Album,Carrie Underwood “Carnvial Ride”
2008,Country Female,Taylor Swift
2008,Country Group,Rascal Flatts
2008,Country Male,Brad Paisley
2008,International Artist Award,Not Given
2008,Latin Music Artist,Enrique Iglesias
2008,Pop/Rock Album,Alicia Keys “As I Am”
2008,Pop/Rock Female,Rihanna
2008,Pop/Rock Group,Daughtry
2008,Pop/Rock Male,Chris Brown
2008,Rap/Hip-Hop Album,Kanye West “Graduation”
2008,Rap/Hip-Hop Group,Three 6 Mafia
2009,Pop/Rock Group,Black Eyed Peas
2009,Pop/Rock Male,Michael Jackson
2009,Rap/Hip-Hop Album,Jay-Z “The Blueprint 3”
2009,Rap/Hip-Hop Male,Jay-Z
2009,Soul/R&B Album,Michael Jackson “Number Ones”
2009,Soul/R&B Female,Beyonce
2009,Soul/R&B Group,Black Eyed Peas
2009,Soul/R&B Male,Michael Jackson
2009,Soundtrack Album,Twilight (Soundtrack)
2009,T-Mobile Breakthrough Artist,Gloriana
2009,Adult Contemporary,Taylor Swift
2009,Alternative Artist,Green Day
2009,Artist Of The Year,Taylor Swift
2009,Award Of Merit,Not Given This Year
2009,Contemporary Inspirational,Mary Mary
2009,Country Album,Taylor Swift “Fearless”
2009,Country Female,Taylor Swift
2009,Country Group,Rascal Flatts
2009,Country Male,Keith Urban
2009,International Artist Award,Whitney Houston
2009,Latin Music Artist,Aventura
2009,Pop/Rock Album,Michael Jackson “Number Ones”
2009,Pop/Rock Female,Taylor Swift
2010,Pop/Rock Female,Lady Gaga
2010,Pop/Rock Group,Black Eyed Peas
2010,Pop/Rock Male,Justin Bieber
2010,Rap/Hip-Hop Album,Eminem “Recovery”
2010,Rap/Hip-Hop Male,Eminem
2010,Soul/R&B Album,Usher “Raymond V Raymond”
2010,Soul/R&B Female,Rihanna
2010,Soul/R&B Male,Usher
2010,Soundtrack,"Glee:The Music, Vol.3 Showstoppers"
2010,T-Mobile Breakthrough Artist,Justin Bieber
2010,Adult Contemporary,Michael Buble
2010,Alternative Artist,Muse
2010,Artist Of The Year,Justin Bieber
2010,Contemporary Inspirational,Mercyme
2010,Country Album,Carrie Underwood “Play On”
2010,Country Female,Taylor Swift
2010,Country Group,Lady Antebellum
2010,Country Male,Brad Paisley
2010,Latin Music Artist,Shakira
2010,Pop/Rock Album,Justin Bieber “My World 2.0”
2011,Pop/Rock Album,Adele “21”
2011,Pop/Rock Female,Adele
2011,Pop/Rock Group,Maroon 5
2011,Pop/Rock Male,Bruno Mars
2011,Rap/Hip-Hop Album,Nicki Minaj “Pink Friday”
2011,Rap/Hip-Hop Favorite Artist,Nicki Minaj
2011,Soul/R&B Album,Rihanna “Loud”
2011,Soul/R&B Female,Beyonce
2011,Soul/R&B Male,Usher
2011,Soundtrack,Not Given This Year
2011,Sprint New Artist Of The Year,Hot Chelle Rae
2011,Adult Contemporary,Adele
2011,Alternative Artist,Foo Fighters
2011,Artist Of The Year,Taylor Swift
2011,Award Of Achievement,Katy Perry
2011,Contemporary Inspirational,Casting Crowns
2011,Country Album,Taylor Swift “Speak Now”
2011,Country Female,Taylor Swift
2011,Country Group,Lady Antebellum
2011,Country Male,Blake Shelton
2011,Latin Music Artist,Jennifer Lopez
2012,Electronic Dance Music,David Guetta
2012,Latin Music Artist,Shakira
2012,Old Navy New Artist Of The Year,Carly Rae Jepsen
2012,Pop/Rock Album,Justin Bieber “Believe”
2012,Pop/Rock Female,Katy Perry
2012,Pop/Rock Group,Maroon 5
2012,Pop/Rock Male,Justin Bieber
2012,Rap/Hip-Hop Album,Nicki Minaj “Pink Friday”
2012,Rap/Hip-Hop Favorite Artist,Nicki Minaj
2012,Soul/R&B Album,Rihanna “Talk That Talk”
2012,Soul/R&B Female,Beyonce
2012,Soul/R&B Male,Usher
2012,Soundtrack,Award Not Given
2012,Adult Contemporary,Adele
2012,Alternative Artist,Linkin Park
2012,Artist Of The Year,Justin Bieber
2012,Award Of Achievement,Award Not Given
2012,Contemporary Inspirational,Toby Mac
2012,Country Album,Carrie Underwood “Blown Away”
2012,Country Female,Taylor Swift
2012,Country Group,Lady Antebellum
2012,Country Male,Luke Bryan
2013,Country Male,Luke Bryan
2013,Electronic Dance Music,Avicii
2013,Icon Award,Rihanna
2013,New Artist Of The Year Presented by Kohl's,Ariana Grande
2013,Latin Music Artist,Marc Anthony
2013,Pop/Rock Album,One Direction “Take Me Home”
2013,Pop/Rock Female,Taylor Swift
2013,Pop/Rock Group,One Direction
2013,Pop/Rock Male,Justin Timberlake
2013,Rap/Hip-Hop Album,Macklemore & Ryan Lewis “The Heist”
2013,Rap/Hip-Hop Artist,Macklemore & Ryan Lewis
2013,Single Of The Year (New Category),Florida Georgia Line
2013,Single Of The Year (New Category),Nelly Featured On Florida Georgia Line
2013,Soul/R&B Album,Justin Timberlake “The 20/20 Experience”
2013,Soul/R&B Female,Rihanna
2013,Soul/R&B Male,Justin Timberlake
2013,Soundtrack,Pitch Perfect
2013,Adult Contemporary Artist,Maroon 5
2013,Alternative Artist,Imagine Dragons
2013,Artist Of The Year,Taylor Swift
2013,Contemporary Inspirational,Matthew West
2013,Country Album,Taylor Swift
2013,Country Band,Lady Antebellum
2013,Country Female,Taylor Swift
2014,Soundtrack,Frozen (Soundtrack)
2014,Contemporary Inspirational,Casting Crowns
2014,Country Album,Brantley Gilbert “Just As I Am”
2014,Country Band,Florida Georgia Line
2014,Country Female,Carrie Underwood
2014,Country Male,Luke Bryan
2014,Dick Clark Award For Excellence,Taylor Swift
2014,Electronic Dance Music,Calvin Harris
2014,New Artist Of The Year Presented by Kohl's,5 Seconds Of Summer
2014,Latin Music Artist,Enrique Iglesias
2014,Pop/Rock Album,One Direction “Midnight Memories”
2014,Pop/Rock Female,Katy Perry
2014,Pop/Rock Group,One Direction
2014,Pop/Rock Male,Sam Smith
2014,Rap/Hip-Hop Album,Iggy Azalea “The New Classic”
2014,Rap/Hip-Hop Artist,Iggy Azalea
2014,Single Of The Year (Duet),Juicy J Featured On Katy Perry “Dark House”
2014,Single Of The Year (Duet),Katy Perry Featuring Juicy J “Dark Horse”
2014,Soul/R&B Album,Beyonce “Beyonce”
2014,Soul/R&B Female,Beyonce
2014,Soul/R&B Male,John Legend
2014,Adult Contemporary Artist,Katy Perry
2014,Alternative Artist,Imagine Dragons
2014,Artist Of The Year,One Direction
2015,Top Soundtrack,Pitch Perfect 2
2015,Electronic Dance Music,Calvin Harris
2015,Contemporary Inspirational,Casting Crowns
2015,Latin Music Artist,Enrique Iglesias
2015,Adult Contemporary Artist,Taylor Swift
2015,Alternative Rock,Fall Out Boy
2015,Soul/R&B Album,"The Weeknd, “Beauty Behind the Madness”"
2015,Soul/R&B Female,Rihanna
2015,Soul/R&B Male,The Weeknd
2015,Rap/Hip-Hop Album,"Nicki Minaj, “The Pinkprint”"
2015,Rap/Hip-Hop Artist,Nicki Minaj
2015,Country Album,"Florida Georgia Line, “Anything Goes”"
2015,Country Group,Florida Georgia Line
2015,Country Female,Carrie Underwood
2015,Country Male,Luke Bryan
2015,Pop/Rock Album,"Taylor Swift, “1989”"
2015,Pop/Rock Group,One Direction
2015,Pop/Rock Female,Ariana Grande
2015,Pop/Rock Male,Ed Sheeran
2015,Collaboration of the Year Un-leashed by T-Mobile,"Skrillex & Diplo Featuring Justin Bieber, “Where Are Ü Now”"
2015,Song of the Year,"Taylor Swift, “Blank Space”"
2015,New Artist Of The Year Presented by Kohl's,Sam Hunt
2015,Artist Of The Year,One Direction
2016,Top Soundtrack,Purple Rain
2016,Favorite Artist - Electronic Dance Music,The Chainsmokers
2016,Favorite Artist - Contemporary Inspirational,Hillsong UNITED
2016,Favorite Artist - Latin,Enrique Iglesias
2016,Favorite Artist - Adult Contemporary,Adele
2016,Favorite Artist - Alternative Rock,Twenty One Pilots
2016,Favorite Song - Soul/R&B,"Rihanna Featuring Drake, “Work”"
2016,Favorite Album - Soul/R&B,"Rihanna, “Anti”"
2016,Favorite Female Artist - Soul/R&B,Rihanna
2016,Favorite Male Artist - Soul/R&B,Chris Brown
2016,Favorite Song - Rap/Hip-Hop,"Drake, “Hotline Bling”"
2016,Favorite Album - Rap/Hip-Hop,"Drake, “Views”"
2016,Favorite Artist - Rap/Hip-Hop,Drake
2016,Favorite Song - Country,"Tim McGraw, “Humble And Kind”"
2016,Favorite Album - Country,"Carrie Underwood, “Storyteller”"
2016,Favorite Duo or Group - Country,Florida Georgia Line
2016,Favorite Female Artist - Country,Carrie Underwood
2016,Favorite Male Artist - Country,Blake Shelton
2016,Favorite Song - Pop/Rock,"Justin Bieber, “Love Yourself”"
2016,Favorite Album - Pop/Rock,"Justin Bieber, “Purpose”"
2016,Favorite Duo or Group - Pop/Rock,Twenty One Pilots
2016,Favorite Female Artist - Pop/Rock,Selena Gomez
2016,Favorite Male Artist - Pop/Rock,Justin Bieber
2016,Video of the Year,"Justin Bieber, “Sorry”"
2016,Tour of the Year,Beyonce
2016,Collaboration of the Year,Fifth Harmony Featuring Ty Dolla $ign “Work From Home”
2016,New Artist of the Year Un-Leased by T-Mobile,Zayn
2016,Artist Of The Year,Ariana Grande
2016,American Music Award of Merit,Sting
2017,Favorite Female Artist – Soul/R&B,Beyoncé
2017,Favorite Album – Soul/R&B,Bruno Mars “24K Magic”
2017,Favorite Song – Soul/R&B,Bruno Mars “That’s What I Like”
2017,Favorite Artist - Alternative Rock,Linkin Park
2017,Favorite Artist - Adult Contemporary,Shawn Mendes
2017,Favorite Artist - Latin,Shakira
2017,Favorite Artist - Contemporary Inspirational,Lauren Daigle
2017,Favorite Artist – Electronic Dance Music (EDM),The Chainsmokers
2017,Top Soundtrack,Moana
2017,Lifetime Achievement Award,Diana Ross
2017,Artist Of The Year,Bruno Mars
2017,New Artist of the Year,Niall Horan
2017,Collaboration of the Year,“Despacito” Luis Fonsi ft. Daddy Yankee & Justin Bieber
2017,Tour of the Year,Coldplay
2017,Video of the Year,Bruno Mars “That’s What I Like”
2017,Favorite Male Artist – Pop/Rock,Bruno Mars
2017,Favorite Female Artist – Pop/Rock,Lady Gaga
2017,Favorite Duo or Group – Pop/Rock,Imagine Dragons
2017,Favorite Album – Pop/Rock,Bruno Mars “24K Magic”
2017,Favorite Song – Pop/Rock,Luis Fonsi and Daddy Yankee featuring Justin Bieber “Despacito”
2017,Favorite Male Artist - Country,Keith Urban
2017,Favorite Female Artist - Country,Carrie Underwood
2017,Favorite Duo or Group - Country,Little Big Town
2017,Favorite Album - Country,Keith Urban “Ripcord”
2017,Favorite Song - Country,Keith Urban “Blue Ain’t Your Color”
2017,Favorite Artist – Rap/Hip-Hop,Drake
2017,Favorite Album – Rap/Hip-Hop,Kendrick Lamar “DAMN.”
2017,Favorite Song – Rap/Hip-Hop,"DJ Khaled featuring Justin Bieber, Quavo, Chance The Rapper and Lil Wayne “I’m The One”"
2017,Favorite Male Artist – Soul/R&B,Bruno Mars
2018,Favorite Artist - Alternative Rock,Panic! At The Disco
2018,Favorite Artist - Adult Contemporary,Shawn Mendes
2018,Favorite Artist - Latin,Daddy Yankee
2018,Favorite Artist - Contemporary Inspirational,Lauren Daigle
2018,Favorite Artist – Electronic Dance Music (EDM),Marshmello
2018,Favorite Soundtrack,"“Black Panther: The Album, Music From And Inspired By”"
2018,Favorite Social Artist,BTS
2018,New Artist of the Year,Camila Cabello
2018,Collaboration of the Year,Camila Cabello ft. Young Thug “Havana”
2018,Artist Of The Year,Taylor Swift
2018,Favorite Male Artist – Pop/Rock,Post Malone
2018,Favorite Female Artist – Pop/Rock,Taylor Swift
2018,Favorite Duo or Group – Pop/Rock,Migos
2018,Favorite Album – Pop/Rock,Taylor Swift “reputation”
2018,Favorite Song – Pop/Rock,Camila Cabello ft. Young Thug “Havana”
2018,Favorite Male Artist - Country,Kane Brown
2018,Favorite Female Artist - Country,Carrie Underwood
2018,Favorite Duo or Group - Country,Florida Georgia Line
2018,Favorite Album - Country,Kane Brown “Kane Brown”
2018,Favorite Song - Country,Kane Brown “Heaven”
2018,Favorite Artist – Rap/Hip-Hop,Cardi B
2018,Favorite Album – Rap/Hip-Hop,Post Malone “Beerbongs & Bentleys”
2018,Favorite Song – Rap/Hip-Hop,Cardi B “Bodak Yellow (Money Moves)”
2018,Favorite Male Artist – Soul/R&B,Khalid
2018,Favorite Female Artist – Soul/R&B,Rihanna
2018,Favorite Album – Soul/R&B,XXXTENTACION “17”
2018,Favorite Song – Soul/R&B,Bruno Mars & Cardi B “Finesse”
2018,Tour of the Year,Taylor Swift
2018,Favorite Music Video,Camila Cabello ft. Young Thug “Havana”
2019,Favorite Female Artist – Soul/R&B,Beyoncé
2019,Favorite Album – Soul/R&B,"Khalid, “Free Spirit”"
2019,Favorite Song – Soul/R&B,"Khalid, “Talk”"
2019,Favorite Artist - Alternative Rock,Billie Eilish
2019,Favorite Artist - Adult Contemporary,Taylor Swift
2019,Favorite Artist - Latin,J Balvin
2019,Favorite Artist - Contemporary Inspirational,Lauren Daigle
2019,Favorite Artist – Electronic Dance Music (EDM),Marshmello
2019,Top Soundtrack,Bohemian Rhapsody
2019,Favorite Social Artist,BTS
2019,Artist Of The Decade,Taylor Swift
2019,Artist Of The Year,Taylor Swift
2019,New Artist of the Year,Billie Eilish
2019,Collaboration of the Year,"Shawn Mendes & Camila Cabello, “Señorita”"
2019,Tour of the Year,BTS
2019,Video of the Year,"Taylor Swift, “You Need to Calm Down”"
2019,Favorite Male Artist – Pop/Rock,Khalid
2019,Favorite Female Artist – Pop/Rock,Taylor Swift
2019,Favorite Duo or Group – Pop/Rock,BTS
2019,Favorite Album – Pop/Rock,"Taylor Swift, “Lover”"
2019,Favorite Song – Pop/Rock,"Halsy, “Without Me”"
2019,Favorite Male Artist - Country,Kane Brown
2019,Favorite Female Artist - Country,Carrie Underwood
2019,Favorite Duo or Group - Country,Dan + Shay
2019,Favorite Album - Country,"Carrie Underwood, “Cry Pretty”"
2019,Favorite Song - Country,"Dan + Shay, “Speechless”"
2019,Favorite Artist – Rap/Hip-Hop,Cardi B
2019,Favorite Album – Rap/Hip-Hop,"Post Malone, “Hollywood’s Bleeding”"
2019,Favorite Song – Rap/Hip-Hop,"Lil Nas X ft. Billy Ray Cyrus, “Old Town Road”"
2019,Favorite Male Artist – Soul/R&B,Bruno Mars
2020,Favorite Female Artist – Soul/R&B,Doja Cat
2020,Favorite Album – Soul/R&B,The Weeknd “After Hours”
2020,Favorite Song – Soul/R&B,The Weeknd “Heartless”
2020,Favorite Male Artist – Latin,Bad Bunny
2020,Favorite Female Artist – Latin,Becky G
2020,Favorite Album – Latin,Bad Bunny “YHLQMDLG”
2020,Favorite Song – Latin,KAROL G & Nicki Minaj “Tusa”
2020,Favorite Artist - Alternative Rock,Twenty One Pilots
2020,Favorite Artist - Adult Contemporary,Jonas Brothers
2020,Favorite Artist - Contemporary Inspirational,Lauren Daigle
2020,Favorite Artist – Electronic Dance Music (EDM),Lady Gaga
2020,Favorite Soundtrack,Birds of Prey: The Album
2020,Artist Of The Year,Taylor Swift
2020,New Artist of the Year,Doja Cat
2020,Collaboration of the Year,"Dan + Shay with Justin Bieber “10,000 Hours”"
2020,Favorite Social Artist,BTS
2020,Favorite Music Video,Taylor Swift “cardigan”
2020,Favorite Male Artist – Pop/Rock,Justin Bieber
2020,Favorite Female Artist – Pop/Rock,Taylor Swift
2020,Favorite Duo of Group – Pop/Rock,BTS
2020,Favorite Album – Pop/Rock,Harry Styles “Fine Line”
2020,Favorite Song – Pop/Rock,Dua Lipa “Don’t Start Now”
2020,Favorite Male Artist - Country,Kane Brown
2020,Favorite Female Artist - Country,Maren Morris
2020,Favorite Duo of Group – Country,Dan + Shay
2020,Favorite Album - Country,Blake Shelton “Fully Loaded: God’s Country”
2020,Favorite Song - Country,"Dan + Shay with Justin Bieber “10,000 Hours”"
2020,Favorite Male Artist – Rap/Hip Hop,Juice WRLD
2020,Favorite Female Artist – Rap/Hip Hop,Nicki Minaj
2020,Favorite Album – Rap/Hip-Hop,Roddy Ricch “Please Excuse Me For Being Antisocial”
2020,Favorite Song – Rap/Hip-Hop,Cardi B ft. Megan Thee Stallion “WAP”
2020,Favorite Male Artist – Soul/R&B,The Weeknd
2021,Favorite Artist – Electronic Dance Music (EDM),Marshmello
2021,New Artist of the Year,Olivia Rodrigo
2021,Collaboration of the Year,Doja Cat ft. SZA “Kiss Me More”
2021,Favorite Trending Song,Megan Thee Stallion “Body”
2021,Favorite Male Artist – Rap/Hip Hop,Drake
2021,Favorite Female Artist – Rap/Hip Hop,Megan Thee Stallion
2021,Favorite Male Artist – Latin,Bad Bunny
2021,Favorite Female Artist – Latin,Becky G
2021,Favorite Duo or Group Latin,Banda MS de Sergio Lizárraga
2021,Favorite Album – Latin,Bad Bunny “EL ÚLTIMO TOUR DEL MUNDO”
2021,Favorite Song – Latin,Kali Uchis “telepatía”
2021,Favorite Artist Gospel,Kanye West
2021,Artist Of The Year,BTS
2021,Favorite Male Artist – Pop/Rock,Ed Sheeran
2021,Favorite Female Artist – Pop/Rock,Taylor Swift
2021,Favorite Duo or Group – Pop/Rock,BTS
2021,Favorite Album – Pop/Rock,Taylor Swift “evermore”
2021,Favorite Song – Pop/Rock,BTS “Butter”
2021,Favorite Male Artist - Country,Luke Bryan
2021,Favorite Female Artist - Country,Carrie Underwood
2021,Favorite Duo or Group - Country,Dan + Shay
2021,Favorite Album - Country,Gabby Barrett “Goldmine”
2021,Favorite Song - Country,Gabby Barrett “The Good Ones”
2021,Favorite Album – Rap/Hip-Hop,Megan Thee Stallion “Good News”
2021,Favorite Song – Rap/Hip-Hop,Cardi B “Up”
2021,Favorite Male Artist – Soul/R&B,The Weeknd
2021,Favorite Female Artist – Soul/R&B,Doja Cat
2021,Favorite Album – Soul/R&B,Doja Cat “Planet Her”
2021,Favorite Song – Soul/R&B,"Silk Sonic (Bruno Mars, Anderson .Paak) “Leave The Door Open”"
2021,Favorite Music Video,Lil Nas X “MONTERO (Call Me By Your Name)”
2021,Favorite Artist - Alternative Rock,Machine Gun Kelly
2021,Favorite Artist - Contemporary Inspirational,Carrie Underwood
2022,Artist Of The Year,Taylor Swift
2022,New Artist of the Year,Dove Cameron
2022,Collaboration of the Year,Elton John & Dua Lipa “Cold Heart - PNAU Remix”
2022,Favorite Touring Artist,Coldplay
2022,Favorite Music Video,Taylor Swift “All Too Well: The Short Film”
2022,Favorite Male Pop Artist,Harry Styles
2022,Favorite Female Pop Artist,Taylor Swift
2022,Favorite Pop Duo or Group,BTS
2022,Favorite Pop Album,Taylor Swift “Red (Taylor Version)”
2022,Favorite Pop Song,Harry Styles “As It Was”
2022,Favorite Male Country Artist,Morgan Wallen
2022,Favorite Female Country Artist,Taylor Swift
2022,Favorite Country Duo or Group,Dan + Shay
2022,Favorite Country Album,Taylor Swift “Red (Taylor Version)”
2022,Favorite Country Song,Morgan Wallen “Wasted on You”
2022,Favorite Male Hip-Hop Artist,Kendrick Lamar
2022,Favorite Female Hip-Hop Artist,Nicki Minaj
2022,Favorite Hip-Hop Album,Kendrick Lamar “Mr. Morale & The Big Steppers”
2022,Favorite Hip-Hop Song,Future ft. Drake & Tems “WAIT FOR U”
2022,Favorite Male R&B Artist,Chris Brown
2022,Favorite Female R&B Artist,Beyoncé
2022,Favorite R&B Album,"Beyonce “Renaissance"""
2022,Favorite R&B Song,Wizkid ft. Tems “Essence”
2022,Favorite Male Latin Artist,Bad Bunny
2022,Favorite Female Latin Artist,Anitta
2022,Favorite Latin Duo or Group,Yahritza Y Su Escenia
2022,Favorite Latin Album,Bad Bunny “Un Verano Sin Ti”
2022,Favorite Latin Song,Sebastián Yatra “Dos Oruguitas”
2022,Favorite Rock Artist,Machine Gun Kelly
2022,Favorite Rock Song,Måneskin “Beggin”
2022,Favorite Rock Album,Ghost “Impera”
2022,Favorite Inspirational Artist,For KING & COUNTRY
2022,Favorite Gospel Artist,Tamela Mann
2022,Favorite Dance/Electronic Artist,Marshmello
2022,Favorite Soundtrack ,“ELVIS”
2022,Favorite Afrobeats Artist,Wizkid
2022,Favorite K-Pop Artist,BTS
