artist,album_names,release_date,type
Rickie Lee Jones,"['Pieces of Treasure', 'Kicks', 'The Other Side of Desire', 'The Devil You Know', 'Balm in Gilead', 'The Sermon on Exposition Boulevard', 'The Evening of My Best Day', 'Ghostyhead (Remastered 2022)', 'Naked Songs Live And Acoustic', 'Traffic From Paradise', 'Pop Pop', 'Flying Cowboys', 'The Magazine', 'Girl at Her Volcano', 'Pirates', 'Rickie Lee Jones', 'It Never Entered My Mind', 'Nature Boy', 'September Song', 'Just in Time']","['2023-04-28', '2019-06-07', '2015-06-23', '2012-01-01', '2009-01-01', '2007-02-06', '2003-10-07', '1997-06-17', '1995-09-15', '1993-01-01', '1991-01-01', '1989-09-26', '1984-09-17', '1983-06-13', '1981-07-20', '1979-03-08', '2023-10-27', '2023-03-24', '2023-02-24', '2023-01-20']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single']"
Christopher Cross,"['Take Me As I Am', 'Secret Ladder', 'A Night in Paris (Live)', 'Doctor Faith', 'The Café Carlyle Sessions', 'A Christopher Cross Christmas', 'Red Room', 'Window', 'Rendezvous', 'Back of My Mind', 'Every Turn of the World', 'Another Page (2019 Remaster)', 'Christopher Cross', 'Sailing', 'Sailing', 'Arthur - The Album [Original Soundtrack]', 'Love At The Movies', 'Train Keeps A Rolling', '30 Rock', 'Love Can Do That']","['2017-10-31', '2014-09-12', '2013-03-08', '2011-02-24', '2008-09-26', '2007-11-15', '1998-09-07', '1994-08-25', '1993-04-03', '1988-10-06', '1985-11-12', '1983-01-31', '1979-12-20', '2023-10-11', '2023-02-03', '2008-02-19', '2024-02-09', '2013-08-13', '2010-01-01', '1991-09-26']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'compilation', 'compilation', 'album', 'album', 'album']"
Sheena Easton,"['The Definitive Singles 1980 - 1987', '15 Classic Tracks: Sheena Easton', 'Fabulous', 'Best Ballads', 'My Cherie', 'The World Of Sheena Easton - The Singles', 'No Strings', 'What Comes Naturally (Expanded Edition)', 'The Lover In Me', 'The Lover In Me (Expanded Edition)', 'No Sound But A Heart', 'Do You [Bonus Tracks Version]', 'Todo Me Recuerda a Ti', 'A Private Heaven [Bonus Tracks Version]', 'Best Kept Secret', 'Live At The Palace, Hollywood (Deluxe Edition)', 'Madness, Money and Music [Bonus Tracks Version]', 'You Could Have Been With Me [Bonus Tracks Version]', 'Take My Time', 'Telefone']","['2021-09-17', '2013-05-03', '2000-11-13', '2000-03-16', '1995-01-01', '1993-06-07', '1993-01-01', '1991-01-01', '1988-11-01', '1988-01-01', '1987-02-01', '1985', '1984-11-23', '1984', '1983-01-10', '1982-01-01', '1982', '1981', '1981', '1983-02-07']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single']"
Men At Work,"['Live in Christchurch 1982', 'Down Under 2011', 'Down Under', 'The Works', 'Two Hearts', 'Cargo', 'Business As Usual', 'Down Under 2011 (Expanded Release)', ""Who Can It Be Now (Blowfelt's Remix) [2021 Remastered Version]"", 'Down Under 2011', 'The Best Of Men At Work', 'The Best Of Men At Work: Contraband', 'The Essential Men At Work', '80s 100 Hits', 'Pop Music: The Modern Era 1976-1999', ""'80s Pop Hits"", '80 Totally 80s Hits', 'Flash Back Internacional', ""On Your 80's Radio"", 'This Is The Day: Feel Good Summer Hits']","['2020-08-01', '2011-06-04', '1998-05-07', '1987-02-23', '1985-04-23', '1983', '1981-11-09', '2017-09-15', '2014-05-30', '2011-04-06', '2005-01-31', '1996-02-01', '1981', '2010-02-26', '1999-10-11', '2001-08-08', '2014-03-03', '2018-04-27', '2002-02-21', '2023-07-07']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'album']"
Culture,"['Life', 'Live at Wembley - World Tour 2016', '20 Year Anniversary Live At The Royal Albert Hall', 'Culture Club', ""Don't Mind If I Do"", 'From Luxury To Heartache', 'Waking Up With The House On Fire (Remastered / Expanded Edition)', 'Waking Up With The House On Fire', 'Colour By Numbers (Remastered / Expanded Edition)', 'Colour By Numbers', 'Kissing To Be Clever', 'BBC In Concert', 'Freaky Toe (Richie Stevens Mix)', 'Brutal Funk (Gabriel Dinero Mix)', 'Freaky Toe (CC Mix)', 'Atoms (Dark Globe Acoustic Mix)', 'Atoms (Dark Globe Satie Dub Mix)', 'Brutal Funk (Richie Stevens Xtended Mix)', 'B Side (Richie Stevens Xtended Mix)', 'Atoms (Dark Globe Radio Edit)']","['2019-05-01', '2017-12-08', '2003-01-01', '2002-01-01', '1999-12-14', '1986-04-01', '1984-11-01', '1984-11-01', '1983-10-01', '1983-10-01', '1982-09-01', '1982', '2024-02-23', '2024-02-09', '2023-12-01', '2023-06-09', '2023-05-12', '2023-04-21', '2023-03-24', '2023-02-17']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single']"
Cyndi Lauper,"['True Colors (35th Anniversary Edition)', 'Spotify Sessions', 'Detour', ""She's So Unusual - Spotify Commentary"", ""She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)"", 'To Memphis With Love', 'Memphis Blues', 'Bring Ya To The Brink', 'The Body Acoustic', 'At Last', 'Merry Christmas...Have A Nice Life', 'Sisters Of Avalon', 'Hat Full Of Stars', 'A Night To Remember', 'The Best Remixes', 'True Colors', ""She's So Unusual"", 'Put A Little Holiday In Your Heart (with Cyndi Lauper)', 'Oh, Dolores (From ""The Horror of Dolores Roach"")', 'Gonna Be You (feat. Gloria Estefan and Debbie Harry)']","['2021-10-15', '2016-06-24', '2016-05-06', '2014-04-01', '2014-03-28', '2011-10-25', '2010-01-01', '2008-05-23', '2005-11-18', '2003-11-18', '1998-10-27', '1996-07-01', '1993-03-01', '1989-05-09', '1989-04-21', '1986-10-14', '1983-10-14', '2023-10-19', '2023-07-07', '2023-01-20']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single']"
Sade,"['Bring Me Home - Live 2011', 'Soldier of Love', 'Lovers Live', 'Lovers Rock', 'Love Deluxe', 'Stronger Than Pride', 'Promise', 'Diamond Life', 'The Big Unknown (From ""Widows"")', 'Flower of the Universe (From Disney\'s ""A Wrinkle in Time"")', 'Sade at Live Aid (Live at Wembley Stadium, 13th July 1985)', 'Babyfather (Radio Edit)', ""By Your Side (Cottonbelly's Fola Extended Mix)"", 'Sade at Live Aid (Live at Live Aid, Wembley Stadium, 13th July 1984)', 'The Ultimate Collection', 'The Best of Sade', 'R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake', 'Pop Music: The Modern Era 1976-1999', '80 Totally 80s Hits', 'Românticas Anos 80']","['2012-05-07', '2010-02-08', '2002-02-18', '2000-11-13', '1992-10-26', '1988-05-03', '1985-11-04', '1984-07-16', '2018-11-10', '2018-03-07', '2018', '2010-06-04', '2002-10-15', '1985', '2011-05-09', '1994-10-31', '2013-06-24', '1999-10-11', '2014-03-03', '2019-02-15']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation']"
Bruce Hornsby & The Range,"['Deep Sea Vents', 'Spirit Trail 25th Anniversary Edition', ""'Flicted"", 'Non-Secure Connection', 'Absolute Zero', 'Rehab Reunion', 'Solo Concerts', 'Camp Meeting', 'Ricky Skaggs & Bruce Hornsby', ""Marian McPartland's Piano Jazz Radio Broadcast With Bruce Hornsby"", 'Halcyon Days (Expanded Edition)', 'Big Swing Face', 'Here Come the Noise Makers', 'Spirit Trail', 'Hot House', 'Harbor Lights', 'Night On The Town', 'Scenes From The Southside', 'Live: The Way It Is Tour 1986-87', 'The Way It Is']","['2024-03-01', '2023-10-27', '2022-05-27', '2020-08-14', '2019-04-12', '2016-01-01', '2014-08-25', '2007-08-06', '2007-03-20', '2005-10-04', '2004-08-17', '2002-06-25', '2000', '1998-10-13', '1995', '1993-04-05', '1990-06-17', '1988', '1987', '1986-06-02']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album']"
Jody Watley,"['Paradise', 'Curvve Classics', 'The Makeover', 'Whenever', 'Midnight Lounge', 'The Saturday Night Experience Vol. 1', 'Flower', 'Intimacy', 'Affairs Of The Heart', 'You Wanna Dance With Me?', 'Larger Than Life', 'Jody Watley', 'Everlasting', 'Christmas Time is Here', 'Photographs', 'Whenever (Remix Edit)', 'Not a Single Day Goes By (Radio Edit)', 'Renderings: The Alex Di Ciò Remixes', 'Good Good Reason', 'The Healing (The Apx Remix)']","['2014-07-28', '2008-10-24', '2006-08-08', '2004-12-21', '2001', '1999-11-01', '1998', '1993-01-01', '1991-01-01', '1989-01-01', '1989-01-01', '1987-01-01', '2024-01-30', '2022-11-18', '2022-04-01', '2021-12-03', '2021-10-29', '2021-10-22', '2021-06-25', '2020-09-04']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single']"
Tracy Chapman,"['Our Bright Future', 'Where You Live', 'Let It Rain', 'Telling Stories', 'New Beginning', 'Matters of the Heart', 'Crossroads', 'Tracy Chapman', 'Change', 'Greatest Hits', 'Deuces Wild', 'Spirito Italiano', 'Bob Dylan - 30th Anniversary Concert Celebration [(Deluxe Edition) [Remastered]]', ""Bring 'Em In"", 'Pavarotti & Friends for Cambodia and Tibet', 'A Very Special Christmas 3', 'A Very Special Christmas Live From Washington D.C.', ""Rockin' Blues"", 'Pavarotti & Friends for Cambodia and Tibet', 'Música de los 90']","['2008-11-07', '2005-09-05', '2002-10-15', '2000-01-18', '1995-10-31', '1992-04-14', '1989', '1988-04-05', '2005-07-12', '2015-11-20', '1997-11-04', '2020-04-04', '1993-03-03', '2005-09-01', '2000-01-01', '1997-09-23', '1999-10-19', '2018-08-17', '2007-01-01', '2023-09-29']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'compilation', 'album', 'compilation', 'compilation', 'album', 'compilation', 'compilation', 'compilation', 'compilation', 'album', 'compilation']"
Milli Vanilli,"['All Or Nothing US Remix Album', 'All Or Nothing', ""Girl You Know It's True (Remix)"", ""Baby Don't Forget My Number (Sped Up)"", ""I'm Gonna Miss You (Sped Up)"", 'Blame It On The Rain (Sped Up)', ""Girl, You Know It's True (Sped Up)"", '4 Hits: Milli Vanilli', 'The Best of Milli Vanilli (35th Anniversary)', ""Girl You Know It's True - The Best Of Milli Vanilli"", 'Greatest Hits', '80s 100 Hits', 'Românticas Anos 80', '60 Hits - 60 Jahre Deutschland', ""Girl, You Know It's True"", ""NOW That's What I Call A Workout Throwback Edition"", ""Girl You Know It's True (Remix)""]","['1989-06-26', '1988-11-14', '2023-11-24', '2023-09-29', '2023-09-22', '2023-09-15', '2023-09-08', '2011-06-03', '2023-11-17', '2013-07-26', '2007-03-01', '2010-02-26', '2019-02-15', '2010-01-29', '2023-11-24', '2017-05-19', '2021-06-03']","['album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'single']"
Mariah Carey,"['Music Box: 30th Anniversary Edition', 'Butterfly: 25th Anniversary Expanded Edition', ""Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack)"", 'The Rarities', 'Merry Christmas (Deluxe Anniversary Edition)', 'Caution', 'Me. I Am Mariah…The Elusive Chanteuse (Deluxe)', 'Merry Christmas II You', 'Memoirs of an imperfect Angel', 'E=MC2', 'The Emancipation Of Mimi (Ultra Platinum Edition)', 'Charmbracelet', 'Glitter', 'Rainbow', 'Butterfly', 'Daydream', 'Merry Christmas', 'Music Box', 'Emotions', 'Mariah Carey']","['2023-09-08', '2022-09-16', '2020-12-11', '2020-10-02', '2019-11-01', '2018-11-17', '2014-05-23', '2010-11-02', '2009-09-29', '2008-04-15', '2005-04-12', '2002-01-01', '2001-09-11', '1999-11-02', '1997-09-16', '1995-10-03', '1994-10-28', '1993-08-31', '1991-09-17', '1990-06-12']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album']"
Marc Cohn,"['The Complete Atlantic Albums', 'Work To Do', 'Walking In Memphis', 'Careful What You Dream: Lost Songs and Rarities', 'Listening Booth: 1970', 'Join the Parade', 'Burning the Daze', 'The Rainy Season', 'In New York (Live 1992)', 'Marc Cohn', 'Work To Do', 'Evolution of a Record', 'The Coldest Corner in the World', 'The Very Best of Marc Cohn', 'Traveler', 'Wedding Songs', 'Music & Songs From ""Starlight Express""', 'Covers, Demos y Otras Travesuras de Blanco', 'Rainy Nights', '90s']","['2020-10-16', '2019-08-09', '2019-05-17', '2016-03-25', '2010-07-20', '2007-10-09', '1998-03-17', '1993-05-11', '1992', '1991-02-08', '2019-07-19', '2016-03-25', '2014-12-03', '2006-06-06', '2012-06-26', '2022-07-08', '1987-03-22', '2021-02-12', '2018-11-02', '2019-08-16']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'compilation', 'album', 'compilation', 'compilation', 'album', 'compilation', 'compilation']"
Arrested Development,"['Bullets In The Chamber', 'On The Cutting Room Floor (Mixtape)', 'For the FKN Love', ""Don't Fight Your Demons"", 'Craft & Optics', 'This Was Never Home', 'Strong', 'Since the Last Time', 'Among The Trees', 'Raw & Live', 'Classic Masters', 'Heroes of the Harvest', 'Zingalamaduni', 'Unplugged', '3 Years, 5 Months And 2 Days In The Life Of...', 'Round Two', 'Hip Hop Saves Lives', ""I Won' Let You Down"", 'Never Had Your Back', 'Swing Um']","['2024-01-12', '2023-03-17', '2021-12-10', '2020-09-25', '2018-10-19', '2016-02-16', '2010-01-01', '2007-10-30', '2004-10-26', '2004-01-01', '2002-01-01', '2001', '1994-06-14', '1993', '1992-03-24', '2024-01-11', '2023-12-10', '2023-03-31', '2022-01-10', '2021-12-10']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single']"
Toni Braxton,"['Spell My Name', 'Sex & Cigarettes', 'Love, Marriage\u200e & Divorce', 'Pulse (Deluxe)', 'Pulse', 'Libra', 'More Than A Woman', 'Snowflakes', 'The Heat', 'Secrets', 'Toni Braxton', 'Dance (Gozzi Remix)', 'Dance (Dave Audé Remix)', 'Do It (Zac Samuel Remix)', 'Stay', 'Sex & Cigarettes', 'Long As I Live', 'Coping (Remixes)', 'Deadwood', 'Hurt You']","['2020-08-28', '2018-03-23', '2014-01-01', '2010-05-03', '2010-05-03', '2005-09-27', '2002-11-19', '2001-10-23', '2000', '1996-06-18', '1993-07-13', '2020-10-16', '2020-05-15', '2020-05-08', '2019-08-23', '2018-03-16', '2018-02-09', '2017-11-10', '2017-09-14', '2013-01-01']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single']"
Sheryl Crow,"['Sheryl: Music From The Feature Documentary', 'Live From the Ryman And More', 'Threads (Big Machine Radio Release Special)', 'Threads', 'Live at the Capitol Theatre - 2017 Be Myself Tour', 'Be Myself', 'Feels Like Home', '100 Miles From Memphis', 'Home For Christmas', 'Detours', 'Wildflower (Deluxe Edition)', 'Wildflower', 'Concert In The Sky', ""C'Mon C'Mon"", 'Sheryl Crow And Friends Live From Central Park', 'The Globe Sessions', 'Sheryl Crow', 'Tuesday Night Music Club (Deluxe Edition)', 'Tuesday Night Music Club', 'Digging In The Dirt']","['2022-05-06', '2021-08-13', '2019-08-30', '2019-08-30', '2018-11-09', '2017-04-21', '2013-09-03', '2010-01-01', '2008-11-26', '2008-01-01', '2005-09-27', '2005-01-01', '2004-01-01', '2002-04-08', '1999-12-07', '1998-09-21', '1996-01-01', '1993-08-03', '1993-08-03', '2024-03-08']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single']"
Hootie & The Blowfish,"['Imperfect Circle', 'Looking for Lucky', 'Hootie & The Blowfish', 'Scattered, Smothered and Covered', 'Musical Chairs', 'Fairweather Johnson', 'Cracked Rear View (25th Anniversary Deluxe Edition)', 'Cracked Rear View', ""Won't Be Home For Christmas"", 'Turn It Up', 'Hold On', 'Lonely On A Saturday Night', 'Miss California', ""Rollin'"", ""90's Rock Bands"", 'A Very Special Christmas 3', 'Best Country Of The Decade: 2010-2019', 'Friends Soundtrack', '90s Rock', '90s Music']","['2020-09-11', '2005-08-09', '2003-03-04', '2000-10-24', '1998-09-15', '1996-04-16', '1994-07-05', '1994-07-01', '2020-10-23', '2019-10-25', '2019-10-17', '2019-10-04', '2019-09-20', '2019-09-06', '2020-03-20', '1997-09-23', '2019-12-20', '1995-09-19', '2017-12-01', '2020-03-27']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation', 'compilation']"
LeAnn Rimes,"[""god's work (resurrected)"", ""god's work"", 'Whatever We Wanna (Deluxe Edition)', 'CHANT: The Human & The Holy', 'Rimes (Live at Gruene Hall)', ""It's Christmas, Eve (Original Motion Picture Soundtrack)"", 'Remnants', 'Today Is Christmas', ""Dance Like You Don't Give A....Greatest Remixes"", 'Spitfire', 'Lady & Gentlemen', 'Family', 'This Woman', 'What A Wonderful World', 'Twisted Angel', 'God Bless America', 'I Need You', ""Sittin' On Top Of The World"", 'You Light Up My Life', 'The Early Years']","['2023-11-10', '2022-09-16', '2021-09-10', '2020-11-20', '2019-09-25', '2018-10-12', '2016-09-09', '2015-10-16', '2014-08-05', '2013-04-09', '2011-09-27', '2007-10-09', '2005-01-25', '2004-10-12', '2002-10-01', '2001-10-16', '2001-01-30', '1998-05-05', '1997-09-09', '1997-02-04']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album']"
Paula Cole,"['Lo', 'American Quilt', 'Revolution', 'Ballads', 'This Bright Red Feeling (Live in New York City)', '7', 'Raven', 'Ithaca', 'Courage', 'Amen', 'This Fire', 'Harbinger', 'Invisible Armor', 'Green Eyes Crying', 'The Replacements & Dinosaur Jr', 'For the Birds', ""God's Gonna Cut You Down"", 'Black Mountain Blues', 'Wayfaring Stranger', 'Hope Is Everywhere (Dirty Werk Remix)']","['2024-03-01', '2021-05-21', '2019-09-13', '2017-08-11', '2016-07-21', '2015-04-05', '2013-04-23', '2010-01-01', '2007-01-01', '1999', '1996', '1995-10-06', '2024-02-07', '2024-01-10', '2023-11-30', '2022-09-21', '2021-05-14', '2021-04-23', '2021-03-19', '2019-09-20']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single']"
Lauryn Hill,"['MTV Unplugged No. 2.0', 'The Miseducation of Lauryn Hill', 'The Score (Expanded Edition)', 'Guarding The Gates (From ""Queen & Slim: The Soundtrack"")', 'Coming Home', ""I've Got Life (Version)"", ""Black Is the Color of My True Love's Hair"", 'Feeling Good', 'Consumerism', 'Neurotic Society (Compulsory Mix)', 'Supernatural (Remastered)', 'It Was Written', 'Supernatural (Legacy Edition)', 'Get Lifted', 'Chant Down Babylon', 'R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake', 'Wyclef Jean presents The Carnival featuring Refugee Allstars (feat. Refugee All Stars)', 'Pop Music: The Modern Era 1976-1999', 'Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas', ""King's Disease II""]","['2002-05-07', '1998-08-25', '1996-02-13', '2019-11-15', '2019-08-28', '2015-06-29', '2015-06-23', '2015-06-18', '2013-10-04', '2013-08-20', '1999-06-15', '1996-07-02', '1999', '2005-12-06', '1999-01-01', '2013-06-24', '1997-06-24', '1999-10-11', '2019-04-19', '2021-08-06']","['album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'album', 'album', 'album', 'album', 'album', 'compilation', 'album', 'compilation', 'compilation', 'album']"
Christina Aguilera,"['Stripped - 20th Anniversary Edition', 'AGUILERA', 'Liberation', 'Lotus (Deluxe Version)', 'Bionic (Deluxe Version)', 'Back To Basics', 'Stripped', 'Just Be Free', 'My Kind Of Christmas', 'Mi Reflejo', 'Christina Aguilera (Expanded Edition)', 'Learning To Fly', 'La Luz', 'Suéltame', 'La Tormenta', 'La Fuerza', 'Santo', 'Somos Nada', 'Pa Mis Muchachas (feat. NATHY PELUSO)', 'This Christmas (Sped + Slowed)']","['2022-10-21', '2022-09-27', '2018-06-15', '2012-11-09', '2010-06-08', '2006-08-14', '2002-07-19', '2001', '2000-11-03', '2000', '1999', '2023-09-22', '2022-09-29', '2022-05-30', '2022-05-30', '2022-01-21', '2022-01-20', '2021-11-18', '2021-10-22', '2021-10-21']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single', 'single']"
Shelby Lynne,"['Love, Shelby', 'The Servant', 'Shelby Lynne', 'Not Dark Yet', ""I Can't Imagine"", 'Revelation Road Deluxe', ""Live At McCabe's"", 'Merry Christmas', 'Tears, Lies, And Alibis', ""Just A Little Lovin'"", 'Suit Yourself', 'Restless', 'Identity Crisis', 'Soft Talk', 'Tough All Over', 'Sunrise', 'Epic Recordings', 'I Got You', ""Don't Even Believe in Love"", 'Here I Am']","['2022-05-11', '2021-09-13', '2020-04-17', '2017-08-18', '2015-05-04', '2012-10-16', '2012-10-16', '2010-11-02', '2010-04-20', '2008', '2005-01-01', '2004-05-04', '2003-01-01', '1991-01-01', '1990-06-27', '1989-03-01', '1989', '2020-04-03', '2020-02-21', '2020-01-28']","['album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'album', 'single', 'single', 'single']"
