artist,genre,followers,popularity
Rickie Lee Jones,"['folk', 'singer-songwriter']",194186,44
Christopher Cross,"['mellow gold', 'soft rock', 'yacht rock']",991746,63
Sheena Easton,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']",663311,54
Men At Work,"['album rock', 'australian rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",1213416,67
Culture,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1527866,63
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2574782,71
Sade,"['british soul', 'sophisti-pop']",3643971,73
Bruce Hornsby & The Range,"['album rock', 'heartland rock', 'mellow gold', 'piano rock', 'singer-songwriter', 'soft rock']",394117,53
Jody Watley,"['contemporary r&b', 'freestyle', 'minneapolis sound', 'new jack swing', 'quiet storm', 'urban contemporary']",310445,38
Tracy Chapman,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",1678918,73
Milli Vanilli,"['freestyle', 'new jack swing', 'new wave pop']",372807,54
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",9616883,78
Marc Cohn,['mellow gold'],94357,53
Arrested Development,"['atl hip hop', 'conscious hip hop', 'hip hop', 'old school atlanta hip hop']",283092,50
Toni Braxton,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",3966911,62
Sheryl Crow,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",1121030,66
Hootie & The Blowfish,"['heartland rock', 'pop rock', 'post-grunge']",1090535,58
LeAnn Rimes,"['contemporary country', 'country', 'country dawn', 'country road']",1325772,60
Paula Cole,"['ectofolk', 'lilith', 'new wave pop', 'pop rock']",161536,49
Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",2744151,72
Christina Aguilera,"['dance pop', 'pop']",7978751,77
Shelby Lynne,"['contemporary vocal jazz', 'ectofolk', 'folk', 'lilith']",53436,47
Alicia Keys,"['neo soul', 'pop', 'r&b']",11356969,78
Norah Jones,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",3048657,73
Evanescence,['alternative metal'],4266307,72
Maroon 5,['pop'],40857077,85
John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",6604439,75
Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']",5829247,70
Amy Winehouse,"['british soul', 'neo soul']",8468998,75
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",53899893,85
Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",3706484,71
Esperanza Spalding,"['contemporary vocal jazz', 'electric bass', 'jazz', 'jazz pop', 'vocal jazz']",372655,44
Bon Iver,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",3517464,75
fun.,"['baroque pop', 'metropopolis']",3047263,66
Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']",2129539,76
Sam Smith,"['pop', 'uk pop']",23334406,83
Meghan Trainor,"['hip pop', 'pop']",14485619,76
Chance The Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",5921684,72
Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",11714187,72
Dua Lipa,"['dance pop', 'pop', 'uk pop']",42594980,88
Billie Eilish,"['art pop', 'pop']",91987150,88
Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",8745010,79
Olivia Rodrigo,['pop'],33615600,88