artist,city,state_province_parish,birth_country,gender,music_group
Rickie Lee Jones,Chicago,Illinois,United States of America,Female ,No
Christopher Cross,San Antonio,Texas,United States of America,Male,no
Sheena Easton,Bellshill,Lanarkshire,Scotland,Female ,No 
Men At Work,Melbourne,Victoria,Australia,Male,Yes 
Culture,Kingston,St. Andrew,Jamaica,Male,Yes 
Cyndi Lauper,Brooklyn,New York,United States of America,Female ,No 
Sade,Ibadan,Oyo State,Nigeria,Female,No 
Bruce Hornsby & The Range,Los Angeles,California,United States of America,Male,Yes 
Jody Watley,Chicago,Illinois,United States of America,Female,No 
Tracy Chapman,Cleveland,Ohio,United States of America,Female,No 
Milli Vanilli,Munich,Bavaria,Germany,Male,Yes 
Mariah Carey,Huntington,New York,United States of America,Female,No 
Marc Cohn,Cleveland,Ohio,United States of America,Male,No 
Arrested Development,Atlanta,Georgia,United States of America,Both,Yes 
Toni Braxton,Severn,Maryland,United States of America,Female,No 
Sheryl Crow,Kennett,Missouri,United States of America,Female,No 
Hootie & The Blowfish,Columbia,South Carolina,United States of America,Male,Yes 
LeAnn Rimes,Jackson ,Mississippi,United States of America,Female,No 
Paula Cole,Rockport,Massachusetts,United States of America,Female,No 
Lauryn Hill,East Orange,New Jersey,United States of America,Female,No 
Christina Aguilera,New York City,New York,United States of America,Female,No 
Shelby Lynne,Quantico,Virginia,United States of America,Female,No 
Alicia Keys,New York City,New York,United States of America,Female,No 
Norah Jones,New York City,New York,United States of America,Female,No 
Evanescence,Little Rock,Arkansas,United States of America,Both ,Yes 
Maroon 5,Los Angeles,California,United States of America,Male ,Yes 
John Legend,Springfield,Ohio,United States of America,Male ,No 
Carrie Underwood,Muskogee,Oklahoma,United States of America,Female,No 
Amy Winehouse,Southgate,London,England,Female,No 
Adele,Tottenham,London,England,Female,No 
Zac Brown Band,Atlanta,Georgia,United States of America,Male ,Yes 
Esperanza Spalding,Portland,Oregon,United States of America,Female,No 
Bon Iver,Eau Claire,Wisconsin ,United States of America,Male,Yes 
fun.,New York City,New York,United States of America,Male,Yes 
Macklemore & Ryan Lewis,Seattle,Washington,United States of America,Male,Yes
Sam Smith,London,England,United Kingdom,Male ,No 
Meghan Trainor,Nantucket,Massachusetts,United States of America,Female ,No 
Chance The Rapper,Chicago,Illinois,United States of America,Male,No 
Alessia Cara,Mississauga,Ontario,Canada,Female,No 
Dua Lipa,London,England,United Kingdom,Female,No 
Billie Eilish,Los Angeles,California,United States of America,Female,No 
Megan Thee Stallion,San Antonio,Texas,United States of America,Female,No 
Olivia Rodrigo,Murrieta,California,United States of America,Female,No 