artist,state_region,birth_country,gender,music_group
Rickie Lee Jones,Illinois,United States of America,Female ,No
Christopher Cross,Texas,United States of America,Male,no
Sheena Easton,Lanarkshire,Scotland,Female ,No 
Men At Work,Victoria,Australia,Male,Yes 
Culture,St. Andrew,Jamaica,Male,Yes 
Cyndi Lauper,New York,United States of America,Female ,No 
Sade,Oyo State,Nigeria,Female,No 
Bruce Hornsby & The Range,California,United States of America,Male,Yes 
Jody Watley,Illinois,United States of America,Female,No 
Tracy Chapman,Ohio,United States of America,Female,No 
Milli Vanilli,Bavaria,Germany,Male,Yes 
Mariah Carey,New York,United States of America,Female,No 
Marc Cohn,Ohio,United States of America,Male,No 
Arrested Development,Georgia,United States of America,Both,Yes 
Toni Braxton,Maryland,United States of America,Female,No 
Sheryl Crow,Missouri,United States of America,Female,No 
Hootie & The Blowfish,South Carolina,United States of America,Male,Yes 
LeAnn Rimes,Mississippi,United States of America,Female,No 
Paula Cole,Massachusetts,United States of America,Female,No 
Lauryn Hill,New Jersey,United States of America,Female,No 
Christina Aguilera,New York,United States of America,Female,No 
Shelby Lynne,Virginia,United States of America,Female,No 
Alicia Keys,New York,United States of America,Female,No 
Norah Jones,New York,United States of America,Female,No 
Evanescence,Arkansas,United States of America,Both ,Yes 
Maroon 5,California,United States of America,Male ,Yes 
John Legend,Ohio,United States of America,Male ,No 
Carrie Underwood,Oklahoma,United States of America,Female,No 
Amy Winehouse,London,England,Female,No 
Adele,London,England,Female,No 
Zac Brown Band,Georgia,United States of America,Male ,Yes 
Esperanza Spalding,Oregon,United States of America,Female,No 
Bon Iver,Wisconsin ,United States of America,Male,Yes 
fun.,New York,United States of America,Male,Yes 
Macklemore & Ryan Lewis,Washington,United States of America,Male,Yes
Sam Smith,London,England,Male ,No 
Meghan Trainor,Massachusetts,United States of America,Female ,No 
Chance The Rapper,Illinois,United States of America,Male,No 
Alessia Cara,Ontario,Canada,Female,No 
Dua Lipa,London,England,Female,No 
Billie Eilish,California,United States of America,Female,No 
Megan Thee Stallion,Texas,United States of America,Female,No 
Olivia Rodrigo,California,United States of America,Female,No 